Date,Consumption,Wind,Solar,Wind+Solar,wind_speed_germany_avg,temperature_air_mean_2m_germany_avg,sunshine_duration_germany_avg
01-01-2006,1069.184,,,,3.1,2.722222222,2280
02-01-2006,1380.521,,,,1.9375,0.922222222,80
03-01-2006,1442.533,,,,1.875,-0.111111111,1000
04-01-2006,1457.217,,,,2.9375,-0.166666667,1280
05-01-2006,1477.131,,,,5.0875,0.177777778,0
06-01-2006,1403.427,,,,4.5,-0.422222222,0
07-01-2006,1300.287,,,,4.0625,-0.544444444,0
08-01-2006,1207.985,,,,4.0875,-2.455555556,7480
09-01-2006,1529.323,,,,3,-4.866666667,19720
10-01-2006,1576.911,,,,3.3375,-3.266666667,16280
11-01-2006,1577.176,,,,4.175,0.022222222,14040
12-01-2006,1553.28,,,,2.5625,1.455555556,6520
13-01-2006,1545.002,,,,4.275,-0.788888889,9280
14-01-2006,1359.945,,,,3.675,-2.088888889,22000
15-01-2006,1265.475,,,,4.125,-4.633333333,23520
16-01-2006,1563.738,,,,3.575,-3.644444444,23400
17-01-2006,1598.303,,,,4.625,-1.233333333,6320
18-01-2006,1572.984,,,,4.525,0.5,2760
19-01-2006,1558.29,,,,2.875,-0.322222222,3400
20-01-2006,1540.604,,,,4.25,2.233333333,680
21-01-2006,1348.188,,,,5.425,2.2,720
22-01-2006,1248.111,,,,3.6875,-5.977777778,14760
23-01-2006,1569.691,,,,3.775,-10.38888889,27800
24-01-2006,1603.252,,,,3.725,-8.366666667,23520
25-01-2006,1613.312,,,,3.35,-4.1,1400
26-01-2006,1601.673,,,,3.9,-4.833333333,14160
27-01-2006,1586.065,,,,3.1625,-8.044444444,20120
28-01-2006,1373.03,,,,2.975,-6.955555556,28000
29-01-2006,1252.215,,,,2.625,-4.666666667,20920
30-01-2006,1554.722,,,,3.0875,-1.633333333,10240
31-01-2006,1575.129,,,,3.4625,-0.333333333,8440
01-02-2006,1582.134,,,,2.45,-2.155555556,9280
02-02-2006,1595.717,,,,2.325,-2.922222222,6280
03-02-2006,1577.786,,,,2.15,-1.866666667,4160
04-02-2006,1366.322,,,,2.4,-1.844444444,4400
05-02-2006,1258.013,,,,1.8,-3.988888889,8720
06-02-2006,1557.525,,,,2.95,-2.611111111,3480
07-02-2006,1606.667,,,,6.5,3.233333333,0
08-02-2006,1590.896,,,,6.8,3.111111111,480
09-02-2006,1599.129,,,,7.875,1.111111111,3160
10-02-2006,1554.631,,,,5.25,0.522222222,880
11-02-2006,1346.104,,,,1.925,-0.311111111,3400
12-02-2006,1232.568,,,,2.075,-0.533333333,5160
13-02-2006,1521.456,,,,2.875,-0.377777778,18040
14-02-2006,1551.373,,,,3.0625,-0.2,14720
15-02-2006,1562.656,,,,5.075,2.922222222,1200
16-02-2006,1523.719,,,,3.7625,4.355555556,3080
17-02-2006,1495.913,,,,4.4625,3.988888889,3840
18-02-2006,1297.385,,,,4.375,4.466666667,8880
19-02-2006,1173.05,,,,3.35,3.711111111,9120
20-02-2006,1501.246,,,,3.925,2.422222222,3040
21-02-2006,1544.112,,,,4.4125,1.9,5480
22-02-2006,1543.107,,,,3.975,0.522222222,0
23-02-2006,1523.491,,,,2.4375,-0.866666667,10240
24-02-2006,1507.235,,,,6,-0.2,24960
25-02-2006,1309.603,,,,5.0375,-1.522222222,9160
26-02-2006,1204.766,,,,3.1375,-1.744444444,7840
27-02-2006,1444.899,,,,2.35,-2.566666667,17040
28-02-2006,1507.49,,,,4.4625,-0.777777778,440
01-03-2006,1531.173,,,,5.3625,-0.666666667,2600
02-03-2006,1539.951,,,,5.3,-1.155555556,11440
03-03-2006,1510.884,,,,3.7,-0.811111111,6120
04-03-2006,1323.303,,,,3.5,-1.377777778,11120
05-03-2006,1220.395,,,,4.2375,-1.088888889,11520
06-03-2006,1502.191,,,,4.075,-1.455555556,7480
07-03-2006,1514.012,,,,3.4625,-0.711111111,10000
08-03-2006,1545.834,,,,4.6625,-1.088888889,13280
09-03-2006,1498.444,,,,4.425,1.822222222,480
10-03-2006,1475.327,,,,4.4,1.666666667,4880
11-03-2006,1320.368,,,,4.975,-1.855555556,1000
12-03-2006,1218.407,,,,3.725,-4.622222222,18240
13-03-2006,1494.832,,,,2.9375,-5.011111111,28600
14-03-2006,1514.066,,,,2.95,-3.588888889,31880
15-03-2006,1518.04,,,,3.275,-1.277777778,9640
16-03-2006,1516.898,,,,3.675,0.322222222,2320
17-03-2006,1495.324,,,,3.8375,0.333333333,3200
18-03-2006,1280.717,,,,3.475,-0.455555556,6640
19-03-2006,1160.078,,,,3.3875,0.588888889,10480
20-03-2006,1446.238,,,,3.0125,2.944444444,14320
21-03-2006,1470.34,,,,2.275,1.5,24440
22-03-2006,1471.667,,,,2.5375,0.277777778,22880
23-03-2006,1456.016,,,,2.6625,0.933333333,36360
24-03-2006,1444.75,,,,4.8625,3.644444444,23840
25-03-2006,1231.067,,,,3.975,6.011111111,1800
26-03-2006,1116.743,,,,4.6125,10.32222222,4760
27-03-2006,1400.982,,,,4.7875,12.95555556,12120
28-03-2006,1435.152,,,,5.2375,10.13333333,12840
29-03-2006,1438.405,,,,5.425,7.133333333,5520
30-03-2006,1457.454,,,,5.4625,8.7,3280
31-03-2006,1429.066,,,,7.2375,11.07777778,9360
01-04-2006,1207.769,,,,4.625,10.36666667,11280
02-04-2006,1110.026,,,,4.9875,9.388888889,18160
03-04-2006,1422.789,,,,5.5875,6.9,7760
04-04-2006,1436.699,,,,3.9625,4.1,15720
05-04-2006,1447.798,,,,4.025,2.755555556,20240
06-04-2006,1432.853,,,,3.5375,4.344444444,24440
07-04-2006,1394.98,,,,3.65,6.644444444,21640
08-04-2006,1195.959,,,,5.1125,8.022222222,25960
09-04-2006,1104.106,,,,4.6375,6.466666667,19960
10-04-2006,1408.169,,,,3.7,4.511111111,8480
11-04-2006,1419.301,,,,3.4875,3.855555556,10760
